203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,553944,289191,264753,250046,127680,122366,1478947,999282,479665,797544,681403,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,9602,38414,57546,3495,41143,839514,96620,936134,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,3893566,2544205,888205,497793,4839,425249,10911,183497,48435,12934,346729,3094,69056,371137,11474,36635,647438,270894,112382,694531,7910,211606,1841,10707,2928,1612,9896,437171,588382,5830,673647,67,521,5592,6825,282250,368844,645,19577,2006,18044,66944,84988,70446,299420,102964,126010,249111,74546,56971,508159,109279,26324,35133,6684,2125,55494,935,1347,621,1968,138,21,159,30,49,79,40,3181
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,649726,340363,309363,12461,6454,6007,1737539,1260774,476765,1132789,604750,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,15590,52358,74979,7719,70258,1142260,101565,1243825,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,5293345,3316422,1122340,648009,12600,611212,19282,357603,78531,24362,546993,5686,96546,585210,13855,55372,898000,391064,179522,967001,9489,289405,5190,14040,3095,1429,14280,593239,796841,6973,945481,96,471,6001,7643,430949,470416,1075,20310,2653,20306,110085,130391,115248,447128,155286,176594,329859,76925,82938,747255,129176,26188,34713,6446,2079,73159,1194,1754,797,2551,223,18,241,25,40,65,47,4098
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,96655,51089,45566,318,177,141,216372,166693,49679,137804,78568,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,3505,3983,10004,478,6698,158484,7516,166000,128209,91277,37063,25657,16031,10091,661,308989,348078,657067,421241,139909,93398,1698,73447,1410,56957,7678,2267,79360,430,11722,83296,1669,5295,135021,52118,30398,147280,830,41108,1721,4592,589,249,4936,96771,116626,389,145016,10,55,718,923,75837,57924,140,2091,371,6732,26938,33670,22278,71746,25002,24466,39484,3989,15128,124984,8303,733,897,136,28,14705,173,211,90,301,4,1,5,2,3,5,4,489
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,405714,213624,192090,2989,1585,1404,1114583,865929,248654,753645,360938,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,7543,39465,66263,3460,42461,807294,49670,856964,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656,2206340,739982,449035,28217,317432,7292,252121,38576,12246,318780,3144,61089,340890,9864,45624,642364,217626,152392,720630,6856,150255,11322,12987,2963,1191,19791,515457,573730,2238,710373,64,302,6150,7058,358607,251811,542,10992,3523,23067,113986,137053,102555,357069,125274,129240,210775,28186,122665,602916,59010,7662,9470,1464,344,61687,866,1150,520,1670,69,10,79,14,22,36,29,2679
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,587158,303389,283769,3990,2056,1934,1636938,1105947,530991,1074091,562847,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,11534,47090,113281,5319,65548,1047552,41234,1088786,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068,2860455,1009424,611899,5601,416574,11636,300530,59254,19016,452569,4200,73851,486531,14946,43081,704604,235903,166993,884913,8410,172231,18924,16915,3401,1462,19942,665636,725870,2224,859607,349,546,11240,13393,412398,346397,1258,19775,30900,20753,102414,123167,108433,441220,157322,175465,278421,58731,142744,681994,116811,22106,28218,4700,1412,74516,1090,1535,668,2203,165,7,172,10,17,27,26,3520
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,354249,182545,171704,10168,5242,4926,877682,551718,325964,472649,405033,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,5136,12111,51028,1845,25078,572287,27815,600102,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331,1453438,495020,277610,3008,192734,4064,107152,21885,6271,195500,1099,26559,207212,5441,22190,258497,152501,47753,430158,5069,134630,10561,5817,883,415,5334,288303,389547,1260,425676,43,265,6634,7366,145728,273702,424,5373,12245,7736,46159,53895,53452,223470,80317,89701,141160,22279,21374,345385,55898,9148,10961,1483,330,28560,533,797,350,1147,114,5,119,8,12,20,15,1836
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,696410,373483,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,659061,44213,703274,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606,1872943,612012,324091,2523,279254,5041,125606,31983,8513,225586,1645,40387,240730,6631,21557,295636,225043,52549,550065,6185,204426,3621,8308,1442,753,6741,336412,505071,718,543136,34,611,7171,8327,213049,317350,511,8056,54827,12500,67876,80376,73656,277849,97412,106781,175194,28036,31056,459413,47807,6416,7782,1067,299,46453,708,866,375,1241,24,9,33,12,20,32,22,2035
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,113118,57964,55154,64224,32506,31718,529064,421192,107872,384416,144648,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,2201,11715,58718,1093,14073,401793,43357,445150,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516,1139615,361114,188447,1224,177516,2436,51858,19539,4204,122353,1022,28736,130592,4035,13210,111597,108435,34858,326865,4776,94113,8431,6661,994,399,5479,227276,297250,7220,315573,17,527,7046,7913,159662,142448,323,4264,29710,12920,37799,50719,44945,153832,53447,55440,108403,22757,33601,276414,16858,2134,2594,382,78,39845,402,574,260,834,55,9,64,13,20,33,14,1347
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,390991,203201,187790,139490,71391,68099,1143318,803275,340043,776385,366933,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,8502,33688,86058,4170,33664,712847,85749,798596,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,3285643,2155512,696556,372692,39859,291919,8390,126408,40178,9510,241206,4252,63200,258284,7568,35470,246639,234013,87774,624039,8720,197240,5222,16479,2055,888,12230,406700,547032,1415,606448,37,1390,16517,18780,273244,314626,836,12331,59597,17045,75176,92221,82784,304012,107266,113962,205154,39326,52843,517258,53373,8430,10296,1478,388,59786,822,1115,521,1636,74,16,90,22,35,57,36,2641
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,263100,136429,126671,179971,92190,87781,1013566,760522,253044,667602,345964,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,6522,32570,60900,2941,27263,668232,69838,738070,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989,2054202,660403,353483,2941,285976,5118,132058,35004,8276,223358,2847,60110,239686,8052,31743,333662,200849,108018,595596,11309,160030,5354,23821,2565,925,16666,416214,501555,3749,580446,61,916,15849,17306,239547,314391,480,13810,44891,20222,71206,91428,83087,297110,105287,108736,190893,37632,63125,505400,43516,6587,8148,1233,328,59999,732,1069,491,1560,124,14,138,20,33,53,31,2516
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,346275,179337,166938,12532,6442,6090,777546,496046,281500,443507,334039,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,4387,12302,23236,1397,23309,486278,24000,510278,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788,1311771,444235,242382,3374,169936,4560,74766,21254,5950,171436,1231,23209,182773,5387,25170,206218,139028,52388,394241,3072,119783,3444,8952,1103,430,8665,261973,345092,1604,384905,70,148,6436,6937,153322,218811,283,6388,9086,6090,46102,52192,52354,203093,72963,77776,126649,19067,28868,324221,42330,6610,8126,1211,305,26324,487,651,285,936,45,3,48,4,7,11,12,1494
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,317249,164518,152731,6009,3101,2908,649898,456724,193174,363326,286572,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,3121,21651,41342,1668,19415,432651,38046,470697,348300,194897,104182,90182,64560,47051,6016,855188,1151349,2006537,1249692,415863,233870,1236,129847,3824,60611,20489,4957,155660,1688,30518,166317,5700,24592,231080,113421,61597,359161,5426,87915,3961,9080,1375,407,7728,254791,302007,3285,349271,104,299,7281,7992,158574,174742,308,6629,10505,5742,39031,44773,43608,179102,64222,71272,122491,21846,34896,291291,43704,8148,10170,1600,422,23047,464,672,311,983,78,8,86,11,18,29,21,1582
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,615688,322327,293361,2772,1361,1411,1223640,947927,275713,731347,492293,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,8232,59510,127442,6280,53205,907174,95539,1002713,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743,2535344,865971,529314,6756,320695,10325,199508,52586,17179,407567,5197,80085,440719,15973,65837,592006,247667,202524,785953,10615,175999,16793,23778,3717,1779,22536,558119,592201,868,771056,111,860,8972,11188,332426,345511,1245,19499,38607,18736,97067,115803,102760,396000,141310,151930,249637,44346,127849,634400,81916,13027,16149,2468,654,73321,994,1489,695,2184,211,16,227,23,37,60,49,3514
